,NAME,STATION_ID,NUM_EBIKES_AVAILABLE,CAPACITY,LATITUDE,LONGITUDE
145,Needwood Rd & Eagles Head Ct,0825962a-1f3f-11e7-bf6b-3863bb334450,0,15,39.123513,-77.15741
146,11th & Clifton St NW,5205f20c-ded8-4469-bafd-021bc7229295,0,19,38.922324,-77.027086
147,Lyttonsville Rd & Lyttonsville Pl,082618a7-1f3f-11e7-bf6b-3863bb334450,2,15,38.999679,-77.051168
148,S Reynolds St & Edsall Rd,41b8e956-0341-4752-89a4-659f7b9eabb8,0,15,38.809607,-77.128908
149,14th & L St NW,08261977-1f3f-11e7-bf6b-3863bb334450,5,19,38.903658,-77.031737
150,Wisconsin Ave & Newark St NW,0824973c-1f3f-11e7-bf6b-3863bb334450,0,19,38.934881,-77.072755
151,Baltimore Ave & Jefferson St,5efd5ecc-a734-4e7b-9142-a500a317df60,2,15,38.95548,-76.940133
152,Langston Blvd & N Monroe St,0825feb6-1f3f-11e7-bf6b-3863bb334450,2,15,38.896456,-77.104562
153,12th St & Pennsylvania Ave SE,082642bd-1f3f-11e7-bf6b-3863bb334450,0,19,38.882489,-76.990121
154,8th & East Capitol St NE,082553a7-1f3f-11e7-bf6b-3863bb334450,0,11,38.889988,-76.995193
155,12th & Irving St NE,0825619c-1f3f-11e7-bf6b-3863bb334450,0,15,38.928644,-76.990955
156,39th & Calvert St NW / Stoddert,08251f93-1f3f-11e7-bf6b-3863bb334450,1,19,38.922649,-77.077271
157,14th St & Marion Barry Ave SE,08252874-1f3f-11e7-bf6b-3863bb334450,1,15,38.866611,-76.985238
158,15th & W St NW,08264250-1f3f-11e7-bf6b-3863bb334450,1,19,38.919019,-77.034449
159,Anacostia Ave & East Capitol St NE,5a3453ad-43af-495d-ba1f-e8be6b66e2e8,0,19,38.890461,-76.96128
160,Pennsylvania & Minnesota Ave SE,082498ac-1f3f-11e7-bf6b-3863bb334450,1,11,38.873057,-76.971015
161,Jones Branch Dr & Blyton St,50a19df9-344a-49e6-aeab-f244d9a333c8,1,12,38.926973,-77.217376
162,MLK & Marion Barry Ave SE,0824821f-1f3f-11e7-bf6b-3863bb334450,1,11,38.867373,-76.988039
163,Columbia Pike & S Scott St/12th St S,8d485a67-09d5-4550-8438-f1fa2f463bc2,0,11,38.863556,-77.077201
164,N Howard St & N Imboden St,5e229707-ae42-42f7-b31d-1a65af253027,0,15,38.818509,-77.105564
165,12th St N & N Pierce St,08254215-1f3f-11e7-bf6b-3863bb334450,0,11,38.887659,-77.07592
166,Main Line Blvd & E Glebe,1b02c95b-63f9-41cd-8c0d-90334a29c7ce,0,19,38.832431,-77.049772
167,Mississippi Ave & 19th St SE / THEARC,72b359a7-f70e-4b97-aaf6-2b26f09f19b1,0,19,38.84377,-76.97557
168,5th & K St NW,08247d46-1f3f-11e7-bf6b-3863bb334450,0,19,38.90304,-77.019027
169,Potomac Ave & Swann Ave,0826315d-1f3f-11e7-bf6b-3863bb334450,0,19,38.829545,-77.047844
170,Potomac Ave & 8th St SE,08259091-1f3f-11e7-bf6b-3863bb334450,1,15,38.876737,-76.994468
